City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Tambopata,PE,2021-10-01 18:34:49,-12.7333,-69.1833,96.69,38,40,9.22,scattered clouds
60,Isangel,VU,2021-10-01 18:32:41,-19.55,169.2667,77.11,78,100,11.5,overcast clouds
61,Sisimiut,GL,2021-10-01 18:31:09,66.9395,-53.6735,37.96,58,3,4.63,clear sky
62,Khatanga,RU,2021-10-01 18:32:36,71.9667,102.5,27.52,95,100,4.38,overcast clouds
63,Daru,PG,2021-10-01 18:34:50,-9.0763,143.2092,77.61,88,100,6.87,overcast clouds
64,Svetlyy,RU,2021-10-01 18:34:50,54.675,20.1347,46.45,70,12,9.53,few clouds
65,Port-Gentil,GA,2021-10-01 18:32:19,-0.7193,8.7815,78.76,83,75,9.22,broken clouds
66,Norman Wells,CA,2021-10-01 18:32:14,65.282,-126.8329,41.04,81,75,8.05,broken clouds
67,East London,ZA,2021-10-01 18:29:10,-33.0153,27.9116,63.54,94,75,13.8,broken clouds
68,Bambous Virieux,MU,2021-10-01 18:33:41,-20.3428,57.7575,73.22,78,75,12.66,broken clouds
69,Kobayashi,JP,2021-10-01 18:34:51,31.9833,130.9833,63.57,75,0,3.44,clear sky
70,Pontianak,ID,2021-10-01 18:30:12,-0.0333,109.3333,73.38,100,90,5.75,overcast clouds
71,Comodoro Rivadavia,AR,2021-10-01 18:32:08,-45.8667,-67.5,57.06,24,20,13.8,few clouds
72,Topalu,RO,2021-10-01 18:34:52,44.55,28.05,54.57,65,6,7.74,clear sky
73,Katherine,AU,2021-10-01 18:34:52,-14.4667,132.2667,84.52,51,40,12.66,scattered clouds
74,Vaini,TO,2021-10-01 18:32:05,-21.2,-175.2,71.76,94,75,10.36,light intensity shower rain
75,Tuatapere,NZ,2021-10-01 18:32:36,-46.1333,167.6833,45.82,84,100,4.29,light rain
76,Port Lincoln,AU,2021-10-01 18:30:26,-34.7333,135.8667,53.74,90,6,12.44,clear sky
77,Excelsior Springs,US,2021-10-01 18:32:39,39.3392,-94.2261,76.84,77,90,4.61,overcast clouds
78,Qaanaaq,GL,2021-10-01 18:32:11,77.484,-69.3632,27.66,90,100,7.11,overcast clouds
79,Nome,US,2021-10-01 18:34:14,64.5011,-165.4064,30.27,64,40,13.8,scattered clouds
80,Roberval,CA,2021-10-01 18:34:53,48.5168,-72.2324,52.25,71,90,4.61,overcast clouds
81,Kodiak,US,2021-10-01 18:32:34,57.79,-152.4072,42.31,61,40,5.75,scattered clouds
82,Chingirlau,KZ,2021-10-01 18:34:54,51.095,54.0814,46.87,66,87,3.8,overcast clouds
83,Nikolskoye,RU,2021-10-01 18:33:17,59.7035,30.7861,51.87,86,100,4.92,overcast clouds
84,Araouane,ML,2021-10-01 18:34:54,18.9048,-3.5265,96.82,15,100,7.0,overcast clouds
85,Bilma,NE,2021-10-01 18:34:55,18.6853,12.9164,88.0,13,0,4.21,clear sky
86,Tuktoyaktuk,CA,2021-10-01 18:32:20,69.4541,-133.0374,33.8,86,90,12.66,overcast clouds
87,Shimizu,JP,2021-10-01 18:34:55,43.0061,142.8847,52.59,97,100,2.62,moderate rain
88,Punta Arenas,CL,2021-10-01 18:32:05,-53.15,-70.9167,46.51,42,40,25.32,scattered clouds
89,Hilo,US,2021-10-01 18:31:09,19.7297,-155.09,79.61,86,75,8.05,light rain
90,Sarangani,PH,2021-10-01 18:34:55,5.4033,125.4636,83.88,72,87,5.99,overcast clouds
91,Mataura,NZ,2021-10-01 18:31:58,-46.1927,168.8643,45.48,93,100,2.06,light rain
92,Mahebourg,MU,2021-10-01 18:33:15,-20.4081,57.7,73.26,78,75,12.66,broken clouds
93,Coihaique,CL,2021-10-01 18:34:56,-45.5752,-72.0662,36.21,93,90,5.75,moderate rain
94,Arlit,NE,2021-10-01 18:33:38,18.7369,7.3853,90.75,11,0,12.55,clear sky
95,Marzuq,YE,2021-10-01 18:34:56,14.4,46.4667,80.01,49,99,3.89,overcast clouds
96,San Patricio,US,2021-10-01 18:33:38,28.017,-97.5169,79.48,69,100,13.58,light rain
97,Smiltene,LV,2021-10-01 18:34:57,57.4244,25.9016,48.79,90,99,3.85,overcast clouds
98,Chuy,UY,2021-10-01 18:33:36,-33.6971,-53.4616,63.1,68,6,14.97,clear sky
99,Ayan,RU,2021-10-01 18:34:57,56.45,138.1667,43.47,68,92,2.82,overcast clouds
100,Airai,TL,2021-10-01 18:32:28,-8.9266,125.4092,59.74,78,98,0.92,overcast clouds
101,Torbay,CA,2021-10-01 18:30:27,47.6666,-52.7314,60.89,98,90,4.61,fog
102,Jamestown,US,2021-10-01 18:29:55,42.097,-79.2353,68.02,61,20,8.05,few clouds
103,Clyde River,CA,2021-10-01 18:32:53,70.4692,-68.5914,39.43,81,75,6.91,broken clouds
104,Vysokogornyy,RU,2021-10-01 18:34:58,50.1167,139.15,33.48,86,18,3.06,few clouds
105,Dikson,RU,2021-10-01 18:32:26,73.5069,80.5464,31.57,80,100,17.27,overcast clouds
106,Riyadh,SA,2021-10-01 18:30:17,24.6877,46.7219,86.14,11,99,6.13,overcast clouds
107,Nemuro,JP,2021-10-01 18:33:34,43.3236,145.575,56.37,94,100,13.47,light rain
108,Columbus,US,2021-10-01 18:30:42,39.9612,-82.9988,77.04,43,20,1.01,few clouds
109,Tazovskiy,RU,2021-10-01 18:34:59,67.4667,78.7,30.07,89,97,17.9,overcast clouds
110,Cherskiy,RU,2021-10-01 18:34:08,68.75,161.3,2.84,94,64,6.85,broken clouds
111,Barillas,GT,2021-10-01 18:34:59,15.8036,-91.3158,80.94,50,8,6.08,clear sky
112,Lagoa,PT,2021-10-01 18:34:59,39.05,-27.9833,71.42,86,88,13.87,overcast clouds
113,Salcedo,PH,2021-10-01 18:35:00,12.8105,121.4674,77.25,82,100,4.36,overcast clouds
114,Chara,RU,2021-10-01 18:35:01,56.9064,118.2631,27.59,70,100,0.98,overcast clouds
115,Talara,PE,2021-10-01 18:35:01,-4.5772,-81.2719,77.76,57,0,12.66,clear sky
116,Mersing,MY,2021-10-01 18:35:08,2.4312,103.8405,73.31,94,100,3.44,heavy intensity rain
117,Altay,CN,2021-10-01 18:35:08,47.8667,88.1167,32.36,72,100,5.59,overcast clouds
118,Lima,PE,2021-10-01 18:33:10,-12.0432,-77.0282,63.39,93,75,3.0,broken clouds
119,Degollado,MX,2021-10-01 18:35:08,20.467,-102.1498,73.92,61,54,2.57,broken clouds
120,Bonthe,SL,2021-10-01 18:35:09,7.5264,-12.505,79.83,82,74,5.53,broken clouds
121,Bredasdorp,ZA,2021-10-01 18:35:09,-34.5322,20.0403,56.52,88,100,3.44,overcast clouds
122,Lang Son,VN,2021-10-01 18:30:19,21.8333,106.7333,74.14,92,96,1.9,light rain
123,Iqaluit,CA,2021-10-01 18:35:10,63.7506,-68.5145,35.33,75,40,2.3,scattered clouds
124,Puerto Ayora,EC,2021-10-01 18:35:10,-0.7393,-90.3518,78.76,82,97,9.6,overcast clouds
125,Taos,US,2021-10-01 18:35:10,36.4072,-105.5731,53.73,86,90,1.99,light rain
126,Grafton,US,2021-10-01 18:35:11,42.207,-71.6856,66.87,52,20,1.99,few clouds
127,San Vicente,AR,2021-10-01 18:35:11,-26.6167,-54.1333,63.03,98,100,2.37,light rain
128,Maba,CN,2021-10-01 18:35:12,24.6841,113.5984,76.39,89,0,0.58,light rain
129,Porbandar,IN,2021-10-01 18:35:12,21.6422,69.6093,80.37,87,1,11.92,clear sky
130,Sistranda,NO,2021-10-01 18:35:12,63.7256,8.834,58.89,77,100,13.78,overcast clouds
131,Qixingtai,CN,2021-10-01 18:35:13,30.4135,111.8874,74.8,76,68,1.28,light rain
132,Salalah,OM,2021-10-01 18:34:17,17.0151,54.0924,82.49,83,75,8.05,broken clouds
133,Ornskoldsvik,SE,2021-10-01 18:35:13,63.2909,18.7153,51.62,100,90,20.71,light intensity drizzle
134,Bosobolo,CD,2021-10-01 18:35:13,4.1833,19.9,72.97,92,100,2.71,overcast clouds
135,Thompson,CA,2021-10-01 18:30:31,55.7435,-97.8558,64.56,55,40,8.05,scattered clouds
136,Taoudenni,ML,2021-10-01 18:35:14,22.6783,-3.9836,98.01,7,84,7.0,broken clouds
137,Olinda,BR,2021-10-01 18:32:24,-8.0089,-34.8553,80.33,78,40,13.8,scattered clouds
138,Muravlenko,RU,2021-10-01 18:35:14,63.7898,74.523,30.25,96,100,18.97,light snow
139,Talnakh,RU,2021-10-01 18:35:15,69.4865,88.3972,19.47,94,67,2.01,broken clouds
140,Tambura,SS,2021-10-01 18:35:15,5.6,27.4667,70.63,85,100,1.01,overcast clouds
141,Pevek,RU,2021-10-01 18:35:15,69.7008,170.3133,18.68,92,95,10.2,overcast clouds
142,Tocopilla,CL,2021-10-01 18:35:16,-22.092,-70.1979,67.24,66,22,11.43,few clouds
143,Terrace,CA,2021-10-01 18:35:16,54.5163,-128.6035,49.42,87,75,16.11,light intensity shower rain
144,Buerarema,BR,2021-10-01 18:35:17,-14.9594,-39.2997,81.19,56,16,8.75,few clouds
145,Road Town,VG,2021-10-01 18:35:17,18.4167,-64.6167,88.2,62,40,6.91,scattered clouds
146,Lebu,CL,2021-10-01 18:35:17,-37.6167,-73.65,54.34,79,100,17.65,overcast clouds
147,Severo-Kurilsk,RU,2021-10-01 18:32:17,50.6789,156.125,49.96,97,100,11.54,overcast clouds
148,Dingle,PH,2021-10-01 18:35:18,10.9995,122.6711,77.11,91,94,0.76,overcast clouds
149,Ust-Maya,RU,2021-10-01 18:35:19,60.4167,134.5333,33.84,99,100,2.95,light rain
150,Tasiilaq,GL,2021-10-01 18:35:19,65.6145,-37.6368,37.56,57,58,7.99,broken clouds
151,Krasnoturansk,RU,2021-10-01 18:35:21,54.3186,91.5639,39.99,71,94,5.66,overcast clouds
152,Sept-Iles,CA,2021-10-01 18:35:21,50.2001,-66.3821,53.06,87,90,10.0,overcast clouds
153,Chokurdakh,RU,2021-10-01 18:35:21,70.6333,147.9167,5.83,94,63,5.06,broken clouds
154,Hasaki,JP,2021-10-01 18:35:22,35.7333,140.8333,63.28,73,3,14.23,clear sky
155,Provideniya,RU,2021-10-01 18:35:22,64.3833,-173.3,22.78,83,17,7.99,few clouds
156,Anadyr,RU,2021-10-01 18:33:44,64.75,177.4833,7.3,85,0,11.18,clear sky
157,Pangnirtung,CA,2021-10-01 18:35:23,66.1451,-65.7125,32.0,86,20,4.61,few clouds
158,Axim,GH,2021-10-01 18:35:23,4.8699,-2.2405,76.98,89,100,5.57,overcast clouds
159,North Myrtle Beach,US,2021-10-01 18:35:24,33.816,-78.68,85.21,56,1,8.01,clear sky
160,Lata,PT,2021-10-01 18:35:24,40.1629,-8.3327,66.07,83,100,3.49,overcast clouds
161,Harrismith,ZA,2021-10-01 18:35:24,-28.2728,29.1295,57.07,81,55,13.15,broken clouds
162,Seinajoki,FI,2021-10-01 18:35:24,62.7945,22.8282,53.2,71,0,3.0,clear sky
163,Otjimbingwe,NA,2021-10-01 18:35:25,-22.35,16.1333,62.44,22,0,8.16,clear sky
164,Veydelevka,RU,2021-10-01 18:35:25,50.1521,38.4492,46.22,63,12,6.2,few clouds
165,Maceio,BR,2021-10-01 18:35:26,-9.6658,-35.7353,85.44,74,40,8.05,scattered clouds
166,Saint-Francois,FR,2021-10-01 18:35:26,46.4154,3.9054,58.44,82,0,0.0,clear sky
167,Faanui,PF,2021-10-01 18:33:44,-16.4833,-151.75,79.0,70,10,18.01,clear sky
168,Qaqortoq,GL,2021-10-01 18:35:26,60.7167,-46.0333,41.5,47,0,4.21,clear sky
169,Port Blair,IN,2021-10-01 18:35:27,11.6667,92.75,80.56,83,84,10.42,broken clouds
170,Lompoc,US,2021-10-01 18:35:27,34.6391,-120.4579,92.7,37,1,5.75,fog
171,Sundsvall,SE,2021-10-01 18:35:27,62.3913,17.3063,51.96,92,90,11.5,overcast clouds
172,Kostino,RU,2021-10-01 18:35:28,58.9097,53.2691,42.33,92,100,3.11,overcast clouds
173,Victoria,HK,2021-10-01 18:35:09,22.2855,114.1577,85.32,81,10,1.01,light rain
174,Pemangkat,ID,2021-10-01 18:35:28,1.1667,108.9667,75.52,88,100,8.9,overcast clouds
175,Cabo San Lucas,MX,2021-10-01 18:35:29,22.8909,-109.9124,92.61,59,20,1.99,few clouds
176,Ilhabela,BR,2021-10-01 18:35:29,-23.7781,-45.3581,69.35,93,100,9.71,overcast clouds
177,Nalgonda,IN,2021-10-01 18:35:29,17.05,79.2667,76.01,94,5,4.79,clear sky
178,Ponta Delgada,PT,2021-10-01 18:35:30,37.7333,-25.6667,74.12,78,40,4.61,scattered clouds
179,Miyako,JP,2021-10-01 18:35:30,39.6367,141.9525,60.96,89,100,17.54,overcast clouds
180,Moron,AR,2021-10-01 18:35:30,-34.6534,-58.6198,74.98,31,0,7.74,clear sky
181,Abu Kamal,SY,2021-10-01 18:35:31,34.4506,40.9171,83.82,23,0,6.22,clear sky
182,Vila Franca Do Campo,PT,2021-10-01 18:32:41,37.7167,-25.4333,73.81,79,53,3.49,broken clouds
183,Patea,NZ,2021-10-01 18:35:31,-39.7583,174.4833,52.66,85,100,9.28,overcast clouds
184,North Bend,US,2021-10-01 18:35:32,43.4065,-124.2243,66.24,79,1,13.8,clear sky
185,Sao Joao Da Barra,BR,2021-10-01 18:35:32,-21.6403,-41.0511,77.09,83,21,15.12,few clouds
186,Atuona,PF,2021-10-01 18:35:32,-9.8,-139.0333,78.17,71,34,21.68,scattered clouds
187,Kaitangata,NZ,2021-10-01 18:32:23,-46.2817,169.8464,48.92,72,100,7.16,moderate rain
188,Umm Lajj,SA,2021-10-01 18:35:33,25.0213,37.2685,82.4,64,0,7.34,clear sky
189,Hamilton,US,2021-10-01 18:32:40,39.1834,-84.5333,80.65,44,1,1.01,clear sky
190,Mar Del Plata,AR,2021-10-01 18:35:33,-38.0023,-57.5575,62.62,39,0,11.01,clear sky
191,Honningsvag,NO,2021-10-01 18:35:34,70.9821,25.9704,47.95,66,75,21.85,broken clouds
192,Shahpura,IN,2021-10-01 18:35:34,27.3833,75.9667,81.73,72,100,3.31,overcast clouds
193,Samarai,PG,2021-10-01 18:35:34,-10.6167,150.6667,79.61,85,80,6.06,broken clouds
194,Turayf,SA,2021-10-01 18:35:35,31.6725,38.6637,80.85,26,0,11.5,clear sky
195,Monopoli,IT,2021-10-01 18:35:35,40.9559,17.2896,73.17,70,0,6.62,clear sky
196,Ngaoundere,CM,2021-10-01 18:35:35,7.3167,13.5833,66.0,90,96,2.08,overcast clouds
197,Karratha,AU,2021-10-01 18:35:36,-20.7377,116.8463,70.47,73,79,20.69,broken clouds
198,Mae Hong Son,TH,2021-10-01 18:35:36,19.3003,97.9685,74.44,99,98,1.66,overcast clouds
199,Leningradskiy,RU,2021-10-01 18:35:37,69.3833,178.4167,17.74,93,99,6.76,overcast clouds
200,Toamasina,MG,2021-10-01 18:35:37,-18.1667,49.3833,69.8,94,40,3.44,light rain
201,Saint Augustine,US,2021-10-01 18:35:37,29.8947,-81.3145,90.05,65,40,11.5,scattered clouds
202,Dunedin,NZ,2021-10-01 18:30:44,-45.8742,170.5036,46.8,83,100,4.61,light rain
203,Bengkulu,ID,2021-10-01 18:32:20,-3.8004,102.2655,76.21,87,100,3.47,overcast clouds
204,Ginir,ET,2021-10-01 18:35:38,7.1333,40.7,60.78,86,100,4.83,moderate rain
205,Ignatovka,RU,2021-10-01 18:35:38,53.9479,47.6536,44.85,87,28,4.76,scattered clouds
206,Poum,NC,2021-10-01 18:35:39,-20.2333,164.0167,74.32,73,100,22.35,overcast clouds
207,Havelock,US,2021-10-01 18:35:39,34.8791,-76.9013,80.06,63,40,4.0,scattered clouds
208,Marfino,RU,2021-10-01 18:35:39,55.7028,37.3822,42.94,87,75,4.47,broken clouds
209,Kovur,IN,2021-10-01 18:35:40,14.4833,79.9833,81.99,80,7,5.06,clear sky
210,Aswan,EG,2021-10-01 18:35:40,24.0934,32.907,88.9,22,0,11.5,clear sky
211,Kavaratti,IN,2021-10-01 18:35:40,10.5669,72.642,81.99,81,100,13.18,overcast clouds
212,Shaoguan,CN,2021-10-01 18:35:41,24.8,113.5833,76.17,89,0,0.38,light rain
213,Conde,BR,2021-10-01 18:35:41,-7.2597,-34.9075,83.66,70,40,11.5,scattered clouds
214,Vestmannaeyjar,IS,2021-10-01 18:35:41,63.4427,-20.2734,50.99,66,20,6.91,few clouds
215,Mackay,AU,2021-10-01 18:32:08,-21.15,149.2,66.04,94,3,1.14,fog
216,Esperance,AU,2021-10-01 18:35:42,-33.8667,121.9,55.24,86,100,17.67,overcast clouds
217,Coahuayana,MX,2021-10-01 18:35:42,18.7333,-103.6833,87.6,65,81,4.18,broken clouds
